,comments
0,"You can't stop dancing when you hear this song. After 9 years, it's still my favorite. I love Bruno Mars. He is one of the most talented artists of all time."
1,"Bruno Mars is one of the top pop musicians, great song."
2,Yo todos los días la escucho 
3,Listening and dancing!!!
4,10 years and this music will never be forgotten 
5,You ever get into a mood at 2:50am and this song just hits different and you can listen to it 20 times
6,Can’t believe this was a decade ago and it’s still as good as when it dropped. This man is still one of the best entertainers of this era and will go down a legend.
7,"Wow!!! Still LOVE it. So uplifting, yea!️"
8,"The urge to dance is irresistible when this song plays. Even after 9 years, it remains my favorite. Bruno Mars is truly one of the most talented artists of all time."
9,I love this so much when I’m in the car with my mum I play this all the time bc she loves it so much :)
10,Muito  bom  esse música
11,I'm I the only one who thinks that Bruno sounds like Michael Jackson?
12,This music is an emotional journey; I can feel every beat and unique nuance.
13,su inspiracion michael jackson
14,Bom demais!! Musica animada!!
15,"This is a song that sounds like it could’ve came out in the 70s, 80s, 90s, 2000s, 2010s, and 2020s. Very timeless and fresh"
16,Mark Ronson é bom demais!!
17,I swear this song will NEVER get old!!
18,"Musica incrível, todo ano volto pra relembrar essa relíquia"
19,"The lyrics are like poetry, touching the heart and soul"
20,"No matter how many years pass, this song will stay in our hearts forever!"
21,Excelente 
22,"I don't know who Mark Ronson is... But him and Bruno Mars need a permanent partnership where they keep making funk tracks, because believe me we need them! "
23,Show de bola 
24,"This is the song I used to play on a summer hot afternoon, and dance for hours nonstop, it's such a vibe. Thank God I found it again "
25,One of those songs that just won’t ever get old.
26,O melhor 
27,"For better or for worse....
Bruno Mars... never disappoints "
28,"Wow, the music industry actually allowed the release of some good music? "
29,"Nine years of listening to this song on a very regular basis, and I still get a BIG smile on my face every time.
Don't believe me? Just watch....
=-D"
30,"bruno mars lembra muito michael jackson e diferente de muitos que copia e gosta de se parecer o original ""Michael Jackson"" diferente dele o bruno já consegue passa isso  sem ser muito forçado e voz as músicas encaixa então não tenho oq falar dele muito bom de fato realmente "
31,"Great song, it's on my playlist to this day."
32,I don't care who you are or how old you are. This song will make anybody and everybody want to dance to it's iconic beat!
33,Ok...I'm gonna give this video another 2 weeks and it's gonna be a part of the 1 Billion Club...
34,I've been playing this song about 20 times a day and still haven't gotten bored listening to it. Truly a masterpiece 
35,"True fact : 

We can all agree that Mark Ronson and Bruno Mars never disappoints, their talents are pure and their voices are out of the world!!"
36,#Great Song
37,"這首歌太經典 除了好聽以外 MV很棒
場景 外型 動作 流暢度 質感都很好
尤其是舞蹈的律動 很有趣 又很酷
是所有舞蹈界該值得尊敬的歌手"
38,"I’ve been finding this song as it is part of my childhood, finally I found it now"
39,I miss this kind of songs in my daily life
40,Excellence  a perfect perfect performance! Love you Mark Ronson and Bruno Mars!
41,I've been listening to this song on repeat for a day. 
42,"The ""Uptown Funk"" music video is a vibrant blast of retro energy, perfectly syncing with Bruno Mars and Mark Ronson's infectious groove. The stylish visuals and slick choreography create a lively block party atmosphere, making it impossible not to tap your feet and join the celebration. It's a feel-good, funky spectacle that captures the essence of the song's timeless coolness"
43,"This song never gets old. No matter how much I listen to it, I never get bored."
44,"Bruno Mars is one of the top pop musicians of our age. ""Uptown Funk"" and ""Gorilla"" are just a couple of examples. This guy is just AWESOME."
45,A batida dessa música é de mais muito bom
46,Bruno Mars is bringing funk and disco in a modern way. That needs an award. ^.^
47,Isso é uma obra de arte
48,It's been 9 years and I still can't stop nodding my head when I listen to this masterpiece.
49,Lindo demais
50,It's been 10 years and I still love this song
51,"HE IS NOT THE SECOND MICHAEL JACKSON
HE IS THE FIRST BRUNO MARS :)"
52,Que temazoooo esto demuestra que las canciones de antes eran mejor
53,"No matter how many years pass, this song will stay in our hearts forever!"
54,"Bruno Mars é a continuação do Michael Jackson, ele consegue levar alegria assim como fazia o Michael, maravilhoso ! "
55,"Masterpiece ,this Is not a Song ,Is the perfect Harmony of our souls .It makes us feel closer, dancing,singing togheter,young and old in the same funky world.thank you Bruno,thank you Mark."
56,Превосходно 
57,I love this song it was stuck in my head all day xD
58,"Totally feel good song and video,  still makes me smile and lifts my mood .. brilliant"
59,Brilliance! Anything Bruno does is brilliant.
60,"it's not a mistake, IT'S A MASTERPIECE"
61, AMOOOOO
